START 15 10 75
END 15 -10 50 10 50
START 12 290 225
END 12 300 200 10 50

COLOR 62 230 84
RECT 0 0 300 50
RECT 0 250 300 50

RECT 0 240 160 10
RECT 0 230 155 10
RECT 0 220 150 10
RECT 0 210 145 10
RECT 0 200 140 10
RECT 0 190 135 10
RECT 0 180 130 10
RECT 0 170 125 10
RECT 0 160 120 10
RECT 0 150 115 10
RECT 0 140 110 10
RECT 0 130 105 10
RECT 0 120 100 10
RECT 0 110 95 10
RECT 0 100 90 10

RECT 175 190 150 10
RECT 170 180 155 10
RECT 165 170 160 10
RECT 160 160 165 10
RECT 155 150 170 10
RECT 150 140 175 10
RECT 145 130 180 10
RECT 140 120 185 10
RECT 135 110 190 10
RECT 130 100 195 10
RECT 125 90 200 10
RECT 120 80 205 10
RECT 115 70 210 10
RECT 110 60 215 10
RECT 105 50 220 10
